category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
Yield,Domani Protocol,0,95487.81564709336,95487.81564709336,0,[]
Yield,Animal Farm V2,0,90685.85443812792,90685.85443812792,0,[]
Yield,Robo-Vault,0,88968.49215863095,88968.49215863095,0,[]
Yield,ApeRocket,0,85510.89451902446,85510.89451902446,0,[]
Yield,Ester Finance,0,82917.55949032566,82917.55949032566,0,[]
Yield,Viva,1,101287.51070862677,80699.38345769566,20588.127250931106,['BeefStake']
Yield,Vovo Finance,0,79720.74449422468,79720.74449422468,0,[]
Yield,Oh Finance,0,76156.00280695135,76156.00280695135,0,[]
Yield,Orion Money,0,72936.1737962967,72936.1737962967,0,[]
Yield,ETHA Lend,0,70311.64053057303,70311.64053057303,0,[]
Yield,CougarSwap,0,65848.24891015074,65848.24891015074,0,[]
Yield,TreeDefi,0,65774.60894999419,65774.60894999419,0,[]
Yield,HaloDAO,0,61229.98695772633,61229.98695772633,0,[]
Yield,DungeonSwap,0,60954.679715940605,60954.679715940605,0,[]
Yield,Matter Defi,0,59073.938265,59073.938265,0,[]
Yield,ADAO,0,58581.038631062445,58581.038631062445,0,[]
Yield,INK Protocol,0,58063.17696281621,58063.17696281621,0,[]
Yield,Frost Finance,0,56112.24298645151,56112.24298645151,0,[]
Yield,PolygonFarm Finance,0,55219.787876874114,55219.787876874114,0,[]
Yield,Garbi Protocol,0,54965.15166415167,54965.15166415167,0,[]
Yield,Arrow,0,54329.07293902757,54329.07293902757,0,[]
Yield,Hunny Finance,0,53178.9298446003,53178.9298446003,0,[]
Yield,Yieldly,0,52113.500071973656,52113.500071973656,0,[]
Yield,Pop Town,0,48481.87228113284,48481.87228113284,0,[]
Yield,Governor DAO,0,48201.75752867424,48201.75752867424,0,[]
Yield,Magic Land,0,48018.44522071222,48018.44522071222,0,[]
Yield,Thoreum Finance,0,44836.73931259825,44836.73931259825,0,[]
Yield,Bagels Finance,0,44323.4032626121,44323.4032626121,0,[]
Yield,Singular Farm,0,44110.16261614215,44110.16261614215,0,[]
Yield,Elephant Money,0,42397.64050992044,42397.64050992044,0,[]
Yield,MFinance,0,39665.97738746594,39665.97738746594,0,[]
Yield,xWeowns,0,38924.476017930494,38924.476017930494,0,[]
Yield,Goober,0,37060.83423054551,37060.83423054551,0,[]
Yield,Flame DeFi,0,36495.706503745554,36495.706503745554,0,[]
Yield,ACoconut,0,35568.37329284649,35568.37329284649,0,[]
Yield,Solyard,0,33285.69032967152,33285.69032967152,0,[]
Yield,YSL.IO,0,30844.211341567287,30844.211341567287,0,[]
Yield,Ottopia,0,30407.988229254606,30407.988229254606,0,[]
Yield,PearZap,0,29590.350053285783,29590.350053285783,0,[]
Yield,Waterfall BSC,0,29248.918171599915,29248.918171599915,0,[]
Yield,White Whale,0,28606.09398761666,28606.09398761666,0,[]
Yield,Diamond Protocol,0,26740.956804119214,26740.956804119214,0,[]
Yield,Dapp Account DAO,0,25401.46525624,25401.46525624,0,[]
Yield,Liquid Bolt,0,23466.718806776684,23466.718806776684,0,[]
Yield,2Pi Network,0,19918.15322580705,19918.15322580705,0,[]
Yield,Genesys,0,18181.354788077784,18181.354788077784,0,[]
Yield,CashCow Protocol,0,18011.4695564632,18011.4695564632,0,[]
Yield,BooFinance,0,17795.090592402772,17795.090592402772,0,[]
Yield,SleepEarn Finance,0,17493.519999999997,17493.519999999997,0,[]
Yield,Stacker Ventures,0,16818.053330353225,16818.053330353225,0,[]
Yield,Kimberlite,0,16417.659411511075,16417.659411511075,0,[]
Yield,Croblanc,0,15746.40877674678,15746.40877674678,0,[]
Yield,Structured LSD,0,15263.510559508824,15263.510559508824,0,[]
Yield,PolyShield,0,14523.402669648056,14523.402669648056,0,[]
Yield,Lachain Yield Market,0,14349.241368599998,14349.241368599998,0,[]
Yield,Newland,0,13787.59795190765,13787.59795190765,0,[]
Yield,Sharpe Magnum,0,13690.544888486498,13690.544888486498,0,[]
Yield,Gaj Finance,0,13614.319198795843,13614.319198795843,0,[]
Yield,Farmtom,0,12003.551125253129,12003.551125253129,0,[]
Yield,Umami Finance,0,11049.435147,11049.435147,0,[]
Yield,Polytrade,0,10975.659287,10975.659287,0,[]
